"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.HIST1H4H",0.081811890120344,"less","ge","HIST1H4H",14591,9296,7441
"ge.FZR1",0.081866301209941,"greater","ge","FZR1",14592,9297,8835
"ge.MBNL1",0.0818984267461911,"greater","ge","MBNL1",14593,9298,8836
"ge.PSME1",0.0819840172170783,"greater","ge","PSME1",14594,9299,8837
"cn.GLB1L3",0.082004811704502,"greater","cn","GLB1L3",14595,6980,8838
"cn.CDRT4",0.0820842631971277,"less","cn","CDRT4",14596,6981,7442
"cn.TVP23C",0.0820842631971277,"less","cn","TVP23C",14596,6982,7443
"ge.BCL6B",0.0821763639938701,"greater","ge","BCL6B",14597,9300,8839
"cn.SERINC2",0.0821961888192096,"greater","cn","SERINC2",14598,6983,8840
"cn.ENPP4",0.0822253228526925,"greater","cn","ENPP4",14599,6984,8841
"cn.ENPP5",0.0822253228526925,"greater","cn","ENPP5",14599,6985,8842
"ge.ARL4C",0.0822315767705615,"less","ge","ARL4C",14600,9301,7444
"ge.PRPF8",0.0823039350339049,"greater","ge","PRPF8",14601,9302,8843
"ge.KCNJ9",0.0823893953592814,"greater","ge","KCNJ9",14602,9303,8844
"ge.ZC3H7B",0.0824326011102421,"less","ge","ZC3H7B",14603,9304,7445
"ge.FSD1",0.0824412564998956,"greater","ge","FSD1",14604,9305,8845
"cn.UBTFL1",0.08247964888389,"greater","cn","UBTFL1",14605,6986,8846
"cn.PAX1",0.0824945444373024,"greater","cn","PAX1",14606,6987,8847
"cn.STK38",0.0824985004171214,"greater","cn","STK38",14607,6988,8848
"cn.OR6C3",0.0825490120921218,"less","cn","OR6C3",14608,6989,7446
"cn.OR6C65",0.0825490120921218,"less","cn","OR6C65",14608,6990,7447
"cn.OR6C75",0.0825490120921218,"less","cn","OR6C75",14608,6991,7448
"cn.KEAP1",0.0825520848870948,"greater","cn","KEAP1",14609,6992,8849
"ge.DDX58",0.0825798615238378,"less","ge","DDX58",14610,9306,7449
"ge.TTBK2",0.0825848581594516,"greater","ge","TTBK2",14611,9307,8850
"ge.SYCP2",0.0825890702397189,"less","ge","SYCP2",14612,9308,7450
"ge.DLX5",0.0826510160647528,"greater","ge","DLX5",14613,9309,8851
"ge.LOH12CR2",0.0826591430494085,"greater","ge","LOH12CR2",14614,9310,8852
"ge.RSAD2",0.0826748251851884,"greater","ge","RSAD2",14615,9311,8853
"ge.BCAS1",0.0826860612447158,"less","ge","BCAS1",14616,9312,7451
"cn.ZXDB",0.0827035829127844,"greater","cn","ZXDB",14617,6993,8854
"cn.MYCL",0.082705453603023,"greater","cn","MYCL",14618,6994,8855
"cn.GPR63",0.0827154990229532,"greater","cn","GPR63",14619,6995,8856
"cn.SPDYE4",0.0827250329756611,"less","cn","SPDYE4",14620,6996,7452
"ge.CALCRL",0.0827514893015482,"greater","ge","CALCRL",14621,9313,8857
"cn.UFL1",0.0827523464856351,"greater","cn","UFL1",14622,6997,8858
"cn.FHL5",0.0827534555292468,"greater","cn","FHL5",14623,6998,8859
"cn.RGMA",0.0827541023612701,"less","cn","RGMA",14624,6999,7453
"ge.IVD",0.0827684510497903,"greater","ge","IVD",14625,9314,8860
"cn.C6ORF222",0.0828112900123219,"greater","cn","C6ORF222",14626,7000,8861
"ge.ASCC1",0.0828513561398659,"less","ge","ASCC1",14627,9315,7454
"cn.SLC27A4",0.0828609442052914,"less","cn","SLC27A4",14628,7001,7455
"cn.CBFA2T3",0.0828757222617383,"less","cn","CBFA2T3",14629,7002,7456
"ge.GCA",0.0828919202416855,"greater","ge","GCA",14630,9316,8862
"cn.ETV7",0.0829248981175805,"greater","cn","ETV7",14631,7003,8863
"cn.PXT1",0.0829248981175805,"greater","cn","PXT1",14631,7004,8864
"ge.R3HCC1L",0.0829593900910136,"greater","ge","R3HCC1L",14632,9317,8865
"cn.GABARAPL1",0.0829847130543811,"less","cn","GABARAPL1",14633,7005,7457
"ge.STON2",0.08300830228198,"greater","ge","STON2",14634,9318,8866
"ge.UMOD",0.0830511105503169,"greater","ge","UMOD",14635,9319,8867
"ge.UMOD.1",0.0830511105503169,"greater","ge","UMOD.1",14635,9320,8868
"cn.CSGALNACT2",0.0830894264598871,"less","cn","CSGALNACT2",14636,7006,7458
"ge.DCPS",0.083157593417099,"greater","ge","DCPS",14637,9321,8869
"ge.C10ORF99",0.0831612403698369,"less","ge","C10ORF99",14638,9322,7459
"ge.NPY1R",0.0831634911399528,"less","ge","NPY1R",14639,9323,7460
"ge.RARRES3",0.0831730686779282,"less","ge","RARRES3",14640,9324,7461
"ge.OR6A2",0.0832016267453471,"greater","ge","OR6A2",14641,9325,8870
"cn.PPWD1",0.0832020250062087,"less","cn","PPWD1",14642,7007,7462
"cn.MFSD6L",0.0832433156916615,"less","cn","MFSD6L",14643,7008,7463
"ge.KLF3.AS1",0.0832689486017648,"greater","ge","KLF3.AS1",14644,9326,8871
"cn.MSTN",0.083284740801098,"less","cn","MSTN",14645,7009,7464
"cn.SDPR",0.0833171688464189,"less","cn","SDPR",14646,7010,7465
"cn.RPL22L1",0.0833671662982272,"less","cn","RPL22L1",14647,7011,7466
"cn.CEBPZ",0.0833682690423741,"less","cn","CEBPZ",14648,7012,7467
"cn.SULT6B1",0.0833682690423741,"less","cn","SULT6B1",14648,7013,7468
"cn.ANKUB1",0.0833749431782811,"less","cn","ANKUB1",14649,7014,7469
"cn.COMMD2",0.0833749431782811,"less","cn","COMMD2",14649,7015,7470
"ge.TNFRSF25",0.0834246054923116,"greater","ge","TNFRSF25",14650,9327,8872
"ge.SLC25A28",0.0834356298571476,"less","ge","SLC25A28",14651,9328,7471
"cn.AIM1",0.0835257778047454,"greater","cn","AIM1",14652,7016,8873
"ge.ALAS1",0.0835710138659613,"less","ge","ALAS1",14653,9329,7472
"cn.GGTLC2",0.0835992267912977,"greater","cn","GGTLC2",14654,7017,8874
"cn.POM121L1P",0.0835992267912977,"greater","cn","POM121L1P",14654,7018,8875
"cn.RNF214",0.0836413200967299,"greater","cn","RNF214",14655,7019,8876
"ge.ZNHIT1",0.0836725464907797,"less","ge","ZNHIT1",14656,9330,7473
"ge.T",0.0837016540585429,"greater","ge","T",14657,9331,8877
"cn.ISG20",0.0837057240625498,"less","cn","ISG20",14658,7020,7474
"cn.MIR1276",0.0837356679731718,"less","cn","MIR1276",14659,7021,7475
"ge.SLN",0.0838067762389513,"greater","ge","SLN",14660,9332,8878
"ge.NOC2L",0.083818519472339,"less","ge","NOC2L",14661,9333,7476
"cn.NOC3L",0.0838243563851055,"less","cn","NOC3L",14662,7022,7477
"cn.LUZP4",0.0838489169455634,"less","cn","LUZP4",14663,7023,7478
"cn.PNPLA1",0.0838583180611998,"greater","cn","PNPLA1",14664,7024,8879
"ge.TMEM207",0.083878649261706,"greater","ge","TMEM207",14665,9334,8880
"ge.TSPYL6",0.0838944642052174,"greater","ge","TSPYL6",14666,9335,8881
"cn.C9ORF57",0.0839135504628692,"less","cn","C9ORF57",14667,7025,7479
"cn.TTTY23",0.0839156405850174,"greater","cn","TTTY23",14668,7026,8882
"ge.POFUT1",0.0839365939897401,"less","ge","POFUT1",14669,9336,7480
"cn.RNF19A",0.083953469239129,"greater","cn","RNF19A",14670,7027,8883
"ge.OR2L13",0.0839567046042809,"greater","ge","OR2L13",14671,9337,8884
"ge.GFRA3",0.0839575992400218,"greater","ge","GFRA3",14672,9338,8885
"cn.DPH6",0.0839974720650761,"less","cn","DPH6",14673,7028,7481
"ge.TMEM222",0.0840176767476312,"less","ge","TMEM222",14674,9339,7482
"ge.CCNT1",0.0840244170286114,"greater","ge","CCNT1",14675,9340,8886
"cn.ALKBH8",0.0840311017959963,"greater","cn","ALKBH8",14676,7029,8887
"cn.BMS1",0.0840515057121222,"less","cn","BMS1",14677,7030,7483
"ge.CCKBR",0.0840539164647882,"greater","ge","CCKBR",14678,9341,8888
"cn.OCLN",0.0841060562659033,"less","cn","OCLN",14679,7031,7484
"ge.TNNT1",0.0841445122297269,"less","ge","TNNT1",14680,9342,7485
"ge.SYT8",0.0841457245825556,"less","ge","SYT8",14681,9343,7486
"cn.IDE",0.0841559035723609,"less","cn","IDE",14682,7032,7487
"ge.FBP2",0.0841773170123551,"less","ge","FBP2",14683,9344,7488
"ge.GABRG2",0.0842262948990914,"greater","ge","GABRG2",14684,9345,8889
"ge.ADAMDEC1",0.0842373138014971,"greater","ge","ADAMDEC1",14685,9346,8890
"cn.SPSB1",0.0842539772603265,"greater","cn","SPSB1",14686,7033,8891
"ge.MEP1B",0.0842705992995182,"greater","ge","MEP1B",14687,9347,8892
"cn.PMP22",0.0843156090811041,"less","cn","PMP22",14688,7034,7489
"cn.PMP22.1",0.0843156090811041,"less","cn","PMP22.1",14688,7035,7490
"cn.TEKT3",0.0843156090811041,"less","cn","TEKT3",14688,7036,7491
"cn.RAP1GAP2",0.0843675077675144,"less","cn","RAP1GAP2",14689,7037,7492
"cn.GPR137B",0.0843801846249729,"greater","cn","GPR137B",14690,7038,8893
"ge.NMU",0.0844138563127812,"less","ge","NMU",14691,9348,7493
"ge.WDR34",0.0844577626304045,"less","ge","WDR34",14692,9349,7494
"ge.PCDHB2",0.0844706574437139,"less","ge","PCDHB2",14693,9350,7495
"cn.MB21D2",0.0844851609899533,"less","cn","MB21D2",14694,7039,7496
"ge.PCDHA2",0.084497755641826,"less","ge","PCDHA2",14695,9351,7497
"cn.DPY30",0.0845138114448188,"less","cn","DPY30",14696,7040,7498
"ge.MANEAL",0.0845267887124659,"greater","ge","MANEAL",14697,9352,8894
"ge.CSF2",0.0845331891622552,"less","ge","CSF2",14698,9353,7499
"cn.BRPF3",0.084560173551692,"greater","cn","BRPF3",14699,7041,8895
"cn.ARHGAP32",0.0846022486073916,"greater","cn","ARHGAP32",14700,7042,8896
"ge.STAB1",0.0846091797255962,"greater","ge","STAB1",14701,9354,8897
"cn.DUSP3",0.0846133702335855,"greater","cn","DUSP3",14702,7043,8898
"cn.MAPK13",0.0846351474668138,"greater","cn","MAPK13",14703,7044,8899
"cn.MAPK14",0.0846351474668138,"greater","cn","MAPK14",14703,7045,8900
"ge.CMTM7",0.0846391090422934,"less","ge","CMTM7",14704,9355,7500
"ge.GATM",0.0846676358711081,"greater","ge","GATM",14705,9356,8901
"cn.ZNF826P",0.0846791131466457,"greater","cn","ZNF826P",14706,7046,8902
"cn.KLRD1",0.084700192411336,"less","cn","KLRD1",14707,7047,7501
"ge.DGCR9",0.0847248369217274,"greater","ge","DGCR9",14708,9357,8903
"cn.IGSF21",0.084749507423172,"greater","cn","IGSF21",14709,7048,8904
"cn.ZDHHC12",0.0847824630024291,"less","cn","ZDHHC12",14710,7049,7502
"cn.ZER1",0.0847824630024291,"less","cn","ZER1",14710,7050,7503
"ge.TBK1",0.0847933268596202,"less","ge","TBK1",14711,9358,7504
"cn.MTNR1B",0.0848011060935486,"greater","cn","MTNR1B",14712,7051,8905
"cn.KIAA1429",0.084824815888106,"greater","cn","KIAA1429",14713,7052,8906
"cn.ZSCAN21",0.0848830458753377,"less","cn","ZSCAN21",14714,7053,7505
"ge.CPNE5",0.0849222668163535,"greater","ge","CPNE5",14715,9359,8907
"cn.CD70",0.084944820319157,"greater","cn","CD70",14716,7054,8908
"ge.RIMS2",0.0849650723875311,"greater","ge","RIMS2",14717,9360,8909
"ge.NIT1",0.084992862096476,"less","ge","NIT1",14718,9361,7506
"cn.OR6C74",0.0850151329712769,"less","cn","OR6C74",14719,7055,7507
"ge.DDIAS",0.0850474685205368,"greater","ge","DDIAS",14720,9362,8910
"cn.C10ORF99",0.0851551476820461,"less","cn","C10ORF99",14721,7056,7508
"cn.GHITM",0.0851551476820461,"less","cn","GHITM",14721,7057,7509
"ge.TMEM100",0.0851683261867085,"greater","ge","TMEM100",14722,9363,8911
"ge.B4GAT1",0.0851716134761835,"less","ge","B4GAT1",14723,9364,7510
"cn.MIR891A",0.0851766178644731,"less","cn","MIR891A",14724,7058,7511
"cn.RGR",0.085202041530079,"less","cn","RGR",14725,7059,7512
"cn.EVA1B",0.0852070102508024,"greater","cn","EVA1B",14726,7060,8912
"cn.SH3D21",0.0852070102508024,"greater","cn","SH3D21",14726,7061,8913
"ge.PSORS1C2",0.0852300814374016,"less","ge","PSORS1C2",14727,9365,7513
"ge.ADAM17",0.0852345050074308,"less","ge","ADAM17",14728,9366,7514
"cn.METTL7B",0.0852388851478582,"less","cn","METTL7B",14729,7062,7515
"cn.NOA1",0.085239690878492,"greater","cn","NOA1",14730,7063,8914
"cn.POLR2B",0.085239690878492,"greater","cn","POLR2B",14730,7064,8915
"cn.CD37",0.0852851734217709,"greater","cn","CD37",14731,7065,8916
"cn.SLC6A16",0.0852851734217709,"greater","cn","SLC6A16",14731,7066,8917
"ge.SFRP1",0.0852934661066573,"less","ge","SFRP1",14732,9367,7516
"ge.TRIM11",0.0853017585033289,"greater","ge","TRIM11",14733,9368,8918
"cn.OR6C6",0.0853070679298288,"less","cn","OR6C6",14734,7067,7517
"ge.ZBTB42",0.0853221438685324,"less","ge","ZBTB42",14735,9369,7518
"cn.AEN",0.0853245874415518,"less","cn","AEN",14736,7068,7519
"cn.KRTAP5.7",0.0853309017101943,"less","cn","KRTAP5.7",14737,7069,7520
"cn.KRTAP5.8",0.0853309017101943,"less","cn","KRTAP5.8",14737,7070,7521
"ge.C5ORF42",0.085390608560083,"less","ge","C5ORF42",14738,9370,7522
"ge.C2ORF15",0.0854410761080695,"greater","ge","C2ORF15",14739,9371,8919
"ge.RAD54B",0.085477314760068,"greater","ge","RAD54B",14740,9372,8920
"cn.TTTY7",0.0854815467291804,"greater","cn","TTTY7",14741,7071,8921
"cn.SIL1",0.0854915920368696,"less","cn","SIL1",14742,7072,7523
"ge.IFI6",0.0855082488431827,"less","ge","IFI6",14743,9373,7524
"ge.ANKRD30B",0.085515448927984,"less","ge","ANKRD30B",14744,9374,7525
"cn.CHMP2B",0.0855328821397307,"less","cn","CHMP2B",14745,7073,7526
"cn.POU1F1",0.0855328821397307,"less","cn","POU1F1",14745,7074,7527
"cn.ELL2",0.0855333217587956,"less","cn","ELL2",14746,7075,7528
"ge.RAB11A",0.085538786526802,"greater","ge","RAB11A",14747,9375,8922
"ge.WFDC6",0.0855743907595673,"less","ge","WFDC6",14748,9376,7529
"cn.GSG1L",0.0855846014358154,"greater","cn","GSG1L",14749,7076,8923
"ge.SCN4B",0.0855940888472485,"greater","ge","SCN4B",14750,9377,8924
"ge.LILRA3",0.085603251867671,"less","ge","LILRA3",14751,9378,7530
"cn.CENPK",0.0856039914313095,"less","cn","CENPK",14752,7077,7531
"ge.HOXA2",0.0856429191242863,"less","ge","HOXA2",14753,9379,7532
"ge.MED20",0.08567259987292,"greater","ge","MED20",14754,9380,8925
"ge.PITPNM2",0.0856822148600349,"greater","ge","PITPNM2",14755,9381,8926
"ge.ADCY10P1",0.085703634197044,"greater","ge","ADCY10P1",14756,9382,8927
"cn.ATP11B",0.085717600411528,"less","cn","ATP11B",14757,7078,7533
"cn.AOC2",0.085752857560907,"greater","cn","AOC2",14758,7079,8928
"cn.AOC3",0.085752857560907,"greater","cn","AOC3",14758,7080,8929
"ge.PRSS3",0.0858907790954791,"less","ge","PRSS3",14759,9383,7534
"ge.CACNA2D3",0.0858915093094219,"greater","ge","CACNA2D3",14760,9384,8930
"ge.ERCC6",0.0858999647188799,"less","ge","ERCC6",14761,9385,7535
"cn.KIR3DL1",0.0859174286310993,"greater","cn","KIR3DL1",14762,7081,8931
"ge.CIITA",0.0859229451643854,"greater","ge","CIITA",14763,9386,8932
"ge.VCP",0.0859456307154495,"less","ge","VCP",14764,9387,7536
"cn.GHDC",0.0861120953892475,"greater","cn","GHDC",14765,7082,8933
"ge.KIAA1524",0.0861330402613091,"greater","ge","KIAA1524",14766,9388,8934
"cn.PIK3CB",0.0861844562710044,"less","cn","PIK3CB",14767,7083,7537
"ge.TNP1",0.0861884261166102,"less","ge","TNP1",14768,9389,7538
"cn.KLHDC7A",0.0862092890469793,"greater","cn","KLHDC7A",14769,7084,8935
"cn.ATP5J2",0.0862210052117471,"less","cn","ATP5J2",14770,7085,7539
"ge.FAM89B",0.0862239739996883,"greater","ge","FAM89B",14771,9390,8936
"cn.DHCR7",0.086240757203827,"less","cn","DHCR7",14772,7086,7540
"ge.C2ORF81",0.0862666239174984,"greater","ge","C2ORF81",14773,9391,8937
"ge.KLC1",0.0863026992037061,"greater","ge","KLC1",14774,9392,8938
"cn.OR56A4",0.0863841072639952,"greater","cn","OR56A4",14775,7087,8939
"ge.NSUN2",0.0863933203595313,"less","ge","NSUN2",14776,9393,7541
"ge.C1ORF115",0.0864215146722352,"less","ge","C1ORF115",14777,9394,7542
"cn.FAM9B",0.0864636016181606,"greater","cn","FAM9B",14778,7088,8940
"ge.SDCCAG8",0.0864862791259954,"greater","ge","SDCCAG8",14779,9395,8941
"cn.PELI1",0.0864975907492787,"less","cn","PELI1",14780,7089,7543
"cn.FBXO10",0.0865018317435832,"greater","cn","FBXO10",14781,7090,8942
"ge.HSPA14",0.0865139251363073,"greater","ge","HSPA14",14782,9396,8943
"cn.SLC13A5",0.0865599820130501,"less","cn","SLC13A5",14783,7091,7544
"ge.ZBTB43",0.0865688357615392,"less","ge","ZBTB43",14784,9397,7545
"ge.STAG3L4",0.0865885590995566,"less","ge","STAG3L4",14785,9398,7546
"cn.RAMP2",0.0865908901087729,"greater","cn","RAMP2",14786,7092,8944
"ge.NT5C2",0.0865934201060183,"greater","ge","NT5C2",14787,9399,8945
"cn.BECN1",0.0866078578915797,"greater","cn","BECN1",14788,7093,8946
"cn.CNTD1",0.0866078578915797,"greater","cn","CNTD1",14788,7094,8947
"cn.NLRP1",0.0866100425414268,"less","cn","NLRP1",14789,7095,7547
"ge.SCNN1D",0.0866150702860751,"greater","ge","SCNN1D",14790,9400,8948
"cn.SPANXN2",0.086620025829329,"less","cn","SPANXN2",14791,7096,7548
"ge.ELL",0.086621497451333,"greater","ge","ELL",14792,9401,8949
"ge.GPATCH2",0.0866964033411929,"less","ge","GPATCH2",14793,9402,7549
"ge.C14ORF166",0.0867669475113043,"greater","ge","C14ORF166",14794,9403,8950
"cn.PTAFR",0.0867817040817545,"greater","cn","PTAFR",14795,7097,8951
"cn.SPANXN1",0.0867891119879237,"less","cn","SPANXN1",14796,7098,7550
"ge.CCR6",0.0868971519696645,"greater","ge","CCR6",14797,9404,8952
"ge.PDSS2",0.0869518222389619,"greater","ge","PDSS2",14798,9405,8953
"ge.BOLL",0.0869519481304419,"greater","ge","BOLL",14799,9406,8954
"cn.AGBL1",0.0869617338529594,"less","cn","AGBL1",14800,7099,7551
"cn.ARV1",0.0870462646175035,"greater","cn","ARV1",14801,7100,8955
"cn.TTC13",0.0870462646175035,"greater","cn","TTC13",14801,7101,8956
"cn.MSANTD4",0.0870795905759837,"greater","cn","MSANTD4",14802,7102,8957
"cn.DET1",0.0870817035642787,"less","cn","DET1",14803,7103,7552
"cn.MIR7.2",0.0870817035642787,"less","cn","MIR7.2",14803,7104,7553
"cn.MIR1179",0.0870817035642787,"less","cn","MIR1179",14803,7105,7554
"ge.PRM2",0.0870847703679777,"less","ge","PRM2",14804,9407,7555
"cn.JAM3",0.0871392311939613,"greater","cn","JAM3",14805,7106,8958
"cn.NCAPD3",0.0871392311939613,"greater","cn","NCAPD3",14805,7107,8959
"cn.THYN1",0.0871392311939613,"greater","cn","THYN1",14805,7108,8960
"cn.VPS26B",0.0871392311939613,"greater","cn","VPS26B",14805,7109,8961
"cn.KY",0.0871490481252928,"less","cn","KY",14806,7110,7556
"ge.ISOC1",0.0871647791261113,"greater","ge","ISOC1",14807,9408,8962
"ge.PLA1A",0.087177895359109,"less","ge","PLA1A",14808,9409,7557
"cn.ERO1B",0.0871978462321096,"greater","cn","ERO1B",14809,7111,8963
"ge.MTL5",0.0872510698585651,"greater","ge","MTL5",14810,9410,8964
"ge.CAAP1",0.0873048259560067,"greater","ge","CAAP1",14811,9411,8965
"cn.ST3GAL5",0.0873091509609809,"less","cn","ST3GAL5",14812,7112,7558
"ge.WAPL",0.0873604052410838,"greater","ge","WAPL",14813,9412,8966
"ge.USHBP1",0.0873801191492971,"less","ge","USHBP1",14814,9413,7559
"cn.KLHDC8A",0.0874012938486549,"greater","cn","KLHDC8A",14815,7113,8967
"cn.NTRK3",0.0874251847830177,"less","cn","NTRK3",14816,7114,7560
"ge.FCRL1",0.0874278813995935,"greater","ge","FCRL1",14817,9414,8968
"cn.SLC5A10",0.0874319613349747,"less","cn","SLC5A10",14818,7115,7561
"cn.PIPSL",0.087432137245936,"less","cn","PIPSL",14819,7116,7562
"cn.SLC35G1",0.087432137245936,"less","cn","SLC35G1",14819,7117,7563
"ge.TAS2R13",0.0874540287754593,"greater","ge","TAS2R13",14820,9415,8969
"cn.HSP90AB2P",0.087460856527849,"greater","cn","HSP90AB2P",14821,7118,8970
"ge.VPS41",0.0874954673074817,"less","ge","VPS41",14822,9416,7564
"cn.TBCEL",0.0875186144934174,"greater","cn","TBCEL",14823,7119,8971
"ge.NDUFS4",0.087557458223633,"less","ge","NDUFS4",14824,9417,7565
"cn.RTN4IP1",0.0876035031531459,"greater","cn","RTN4IP1",14825,7120,8972
"ge.NR0B2",0.0876270399221283,"greater","ge","NR0B2",14826,9418,8973
"cn.EIF2A",0.0876305860039183,"less","cn","EIF2A",14827,7121,7566
"cn.SERP1",0.0876305860039183,"less","cn","SERP1",14827,7122,7567
"ge.GINS4",0.087648874676805,"greater","ge","GINS4",14828,9419,8974
"cn.MSH3",0.0878276061380796,"less","cn","MSH3",14829,7123,7568
"ge.C14ORF180",0.0878447360545303,"greater","ge","C14ORF180",14830,9420,8975
"cn.MAPT",0.0878500366446505,"greater","cn","MAPT",14831,7124,8976
"cn.SLC40A1",0.0878802566816761,"less","cn","SLC40A1",14832,7125,7569
"cn.PACSIN1",0.0878967413269109,"greater","cn","PACSIN1",14833,7126,8977
"cn.RPS10",0.0878967413269109,"greater","cn","RPS10",14833,7127,8978
"cn.VGLL3",0.087932056453903,"less","cn","VGLL3",14834,7128,7570
"ge.DLAT",0.0879449872188126,"greater","ge","DLAT",14835,9421,8979
"ge.GYPA",0.0879857429316896,"greater","ge","GYPA",14836,9422,8980
"ge.CEP78",0.0879867465375816,"greater","ge","CEP78",14837,9423,8981
"cn.C10ORF12",0.0879948522096633,"less","cn","C10ORF12",14838,7129,7571
"ge.MRPL38",0.088012885777593,"less","ge","MRPL38",14839,9424,7572
"cn.GRID1",0.0880744634537463,"less","cn","GRID1",14840,7130,7573
"ge.STAT3",0.0880773421242044,"less","ge","STAT3",14841,9425,7574
"ge.SRP54",0.0880853775238096,"greater","ge","SRP54",14842,9426,8982
"ge.COMMD1",0.0880882210316982,"less","ge","COMMD1",14843,9427,7575
"cn.HERC1",0.0881551382085633,"less","cn","HERC1",14844,7131,7576
"cn.CPSF7",0.088160516110646,"greater","cn","CPSF7",14845,7132,8983
"cn.TMEM216",0.088160516110646,"greater","cn","TMEM216",14845,7133,8984
"ge.VSNL1",0.0881846010550558,"less","ge","VSNL1",14846,9428,7577
"ge.CHRND",0.0882425622330123,"greater","ge","CHRND",14847,9429,8985
"ge.LINC00493",0.0882457534138284,"greater","ge","LINC00493",14848,9430,8986
"cn.PADI3",0.0883174957081269,"greater","cn","PADI3",14849,7134,8987
"ge.CAMLG",0.0883812206367717,"greater","ge","CAMLG",14850,9431,8988
"cn.SPATA16",0.0884183572351938,"less","cn","SPATA16",14851,7135,7578
"ge.LPIN1",0.0884679676043348,"greater","ge","LPIN1",14852,9432,8989
"ge.CNP",0.0885219321893382,"less","ge","CNP",14853,9433,7579
"ge.ATP1A1",0.0885419855023777,"less","ge","ATP1A1",14854,9434,7580
"ge.SEC22B",0.0885675687589412,"less","ge","SEC22B",14855,9435,7581
"ge.SHARPIN",0.0885681366785468,"less","ge","SHARPIN",14856,9436,7582
"ge.KPNA1",0.0886965636403898,"less","ge","KPNA1",14857,9437,7583
"cn.UBE2NL",0.0887229061993617,"less","cn","UBE2NL",14858,7136,7584
"ge.UBASH3B",0.0887306656402838,"greater","ge","UBASH3B",14859,9438,8990
"ge.IPO7",0.0887654155759125,"greater","ge","IPO7",14860,9439,8991
"cn.ARPC1A",0.0888165670573879,"less","cn","ARPC1A",14861,7137,7585
"cn.ARPC1B",0.0888165670573879,"less","cn","ARPC1B",14861,7138,7586
"ge.SLC45A4",0.0888384838194621,"greater","ge","SLC45A4",14862,9440,8992
"cn.PIH1D2",0.0888396413018887,"greater","cn","PIH1D2",14863,7139,8993
"ge.DYNC1I1",0.0888702191186811,"greater","ge","DYNC1I1",14864,9441,8994
"ge.RGL3",0.0888858301982529,"less","ge","RGL3",14865,9442,7587
"cn.SWAP70",0.0889004358587196,"greater","cn","SWAP70",14866,7140,8995
"ge.PHGDH",0.0889040618366126,"greater","ge","PHGDH",14867,9443,8996
"ge.SLC22A13",0.0889166870810911,"less","ge","SLC22A13",14868,9444,7588
"cn.MIR2113",0.0889554953118563,"greater","cn","MIR2113",14869,7141,8997
"cn.DSCAML1",0.0890450891707342,"greater","cn","DSCAML1",14870,7142,8998
"ge.TMEM248",0.0890874255028207,"less","ge","TMEM248",14871,9445,7589
"cn.EIF5A2",0.0891034146674363,"less","cn","EIF5A2",14872,7143,7590
"cn.RXFP1",0.0891273507900193,"greater","cn","RXFP1",14873,7144,8999
"ge.PCDHB4",0.0891396362868164,"greater","ge","PCDHB4",14874,9446,9000
"ge.CELA1",0.0891523337485276,"greater","ge","CELA1",14875,9447,9001
"cn.NTM",0.089192456394243,"greater","cn","NTM",14876,7145,9002
"ge.SLC25A22",0.0892597710795294,"less","ge","SLC25A22",14877,9448,7591
"ge.SLC35D1",0.0892836088467244,"greater","ge","SLC35D1",14878,9449,9003
"ge.ZPBP2",0.0893034679768433,"greater","ge","ZPBP2",14879,9450,9004
"cn.ARHGEF10L",0.089322590142444,"greater","cn","ARHGEF10L",14880,7146,9005
"cn.CEP85L",0.0893296156653965,"greater","cn","CEP85L",14881,7147,9006
"cn.REEP1",0.0894005805807538,"less","cn","REEP1",14882,7148,7592
"ge.MFSD6",0.0894610412582441,"greater","ge","MFSD6",14883,9451,9007
"ge.ADAM10",0.0895320736427767,"less","ge","ADAM10",14884,9452,7593
"cn.RNF13",0.0896263674279569,"less","cn","RNF13",14885,7149,7594
"cn.TMTC1",0.0896568076680465,"less","cn","TMTC1",14886,7150,7595
"cn.C9ORF16",0.0896596904628053,"less","cn","C9ORF16",14887,7151,7596
"cn.CIZ1",0.0896596904628053,"less","cn","CIZ1",14887,7152,7597
"cn.LCN2",0.0896596904628053,"less","cn","LCN2",14887,7153,7598
"cn.IFI35",0.0896674432984622,"greater","cn","IFI35",14888,7154,9008
"cn.RND2",0.0896674432984622,"greater","cn","RND2",14888,7155,9009
"cn.VAT1",0.0896674432984622,"greater","cn","VAT1",14888,7156,9010
"ge.YBX2",0.0897036458599632,"greater","ge","YBX2",14889,9453,9011
"ge.C21ORF59",0.089783441014912,"greater","ge","C21ORF59",14890,9454,9012
"ge.DLL1",0.0898005876045156,"greater","ge","DLL1",14891,9455,9013
"ge.DNAJC30",0.0898496479586289,"less","ge","DNAJC30",14892,9456,7599
"cn.SLC5A11",0.0898850572934351,"greater","cn","SLC5A11",14893,7157,9014
"cn.TNRC6A",0.0898850572934351,"greater","cn","TNRC6A",14893,7158,9015
"ge.AGO1",0.0899437730540971,"greater","ge","AGO1",14894,9457,9016
"cn.ZNF273",0.0899750935558277,"less","cn","ZNF273",14895,7159,7600
"ge.PEBP4",0.0899816043818021,"greater","ge","PEBP4",14896,9458,9017
"ge.CD163",0.0899848150159934,"greater","ge","CD163",14897,9459,9018
