"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.UVRAG",0.000502959734420774,"greater","ge","UVRAG",5523,4201,3122
"ge.LDLRAP1",0.000503560975044321,"less","ge","LDLRAP1",5524,4202,2780
"ge.CHSY3",0.000504236878207086,"less","ge","CHSY3",5525,4203,2781
"cn.ZDHHC14",0.000504740141908265,"greater","cn","ZDHHC14",5526,1701,3123
"ge.P3H3",0.000504767235566024,"less","ge","P3H3",5527,4204,2782
"ge.PTAR1",0.000505322032814653,"greater","ge","PTAR1",5528,4205,3124
"cn.WRB",0.000505442234126816,"greater","cn","WRB",5529,1702,3125
"cn.ULBP3",0.000505487985056608,"greater","cn","ULBP3",5530,1703,3126
"ge.MYH16",0.000506219315595941,"less","ge","MYH16",5531,4206,2783
"cn.RRP1B",0.000507586844911054,"greater","cn","RRP1B",5532,1704,3127
"cn.DSCR4",0.000507728570358455,"greater","cn","DSCR4",5533,1705,3128
"cn.DSCR8",0.000507728570358455,"greater","cn","DSCR8",5533,1706,3129
"ge.ICAM1",0.000507853670729922,"less","ge","ICAM1",5534,4207,2784
"cn.FAM192A",0.000508290511421388,"less","cn","FAM192A",5535,1707,2785
"cn.SLC2A10",0.000508792949994503,"less","cn","SLC2A10",5536,1708,2786
"cn.MIR1257",0.000509325380978941,"less","cn","MIR1257",5537,1709,2787
"ge.FBXO33",0.000510688676619205,"greater","ge","FBXO33",5538,4208,3130
"ge.THNSL2",0.000511003630704637,"less","ge","THNSL2",5539,4209,2788
"ge.MTMR7",0.000511725612989452,"greater","ge","MTMR7",5540,4210,3131
"ge.COX5A",0.000511990180515992,"greater","ge","COX5A",5541,4211,3132
"ge.POLG",0.000512708591692551,"greater","ge","POLG",5542,4212,3133
"ge.MAP2K3",0.000512815208470809,"less","ge","MAP2K3",5543,4213,2789
"cn.STC1",0.000512841868704718,"greater","cn","STC1",5544,1710,3134
"cn.LCA5L",0.000513639829149024,"greater","cn","LCA5L",5545,1711,3135
"cn.SH3BGR",0.000513639829149024,"greater","cn","SH3BGR",5545,1712,3136
"ge.NUMBL",0.000514136189829688,"less","ge","NUMBL",5546,4214,2790
"ge.DPP7",0.000514966911819664,"greater","ge","DPP7",5547,4215,3137
"ge.CFH",0.000515360369575751,"less","ge","CFH",5548,4216,2791
"ge.TRIM52",0.000515418510579303,"greater","ge","TRIM52",5549,4217,3138
"cn.APBB3",0.000515562373162633,"less","cn","APBB3",5550,1713,2792
"cn.SLC35A4",0.000515562373162633,"less","cn","SLC35A4",5550,1714,2793
"ge.EVA1B",0.000516747040298802,"less","ge","EVA1B",5551,4218,2794
